price_changes.ProductID,price_changes.WeekKey,price_changes.Channel,price_changes.Country,price_changes.OSP,price_changes.previous_CSP,price_changes.CSP
1076b64b,201603,Online,B,14.483,12.232,11.332
1078862,201516,Stores,A,16.958,16.958,15.833
1078862,201516,Stores,B,15.383,15.383,14.483
1078862,201517,Stores,A,16.958,15.833,14.663
1078862,201517,Stores,B,15.383,14.483,13.583
1078862,201519,Online,B,15.383,15.383,12.683
1078862,201519,Stores,A,15.833,14.663,11.737
1078862,201519,Stores,B,14.483,13.583,11.332
1078862,201522,Online,B,14.483,12.683,11.332
1078862,201523,Online,B,15.383,11.332,12.683
1078862,201523,Stores,A,16.958,11.737,14.663
1078862,201523,Stores,B,15.383,11.332,13.583
1078862,201524,Online,B,14.483,12.683,11.332
1078862,201524,Stores,A,15.833,14.663,11.737
1078862,201524,Stores,B,14.483,13.583,11.332
1078862,201528,Online,B,15.383,11.332,12.683
10794f33,201525,Online,B,13.583,13.583,12.457
10794f33,201525,Stores,A,14.483,14.483,13.074
10794f33,201525,Stores,B,13.583,13.583,12.457
10794f33,201546,Stores,A,14.483,13.074,10.54
10794f33,201546,Stores,B,13.583,12.457,10.432
108186f6,201607,Online,B,15.383,15.383,13.583
108ce610,201516,Online,B,16.283,16.283,14.483
108ce610,201517,Stores,B,16.283,16.283,14.483
108ce610,201521,Online,B,14.483,14.483,13.133
108ce610,201525,Online,B,14.483,13.133,12.232
108ce610,201536,Online,B,16.283,12.232,14.483
10900c9e,201517,Stores,A,19.884,19.884,15.806
10900c9e,201519,Stores,A,19.884,15.806,12.89
10903ab7,201552,Online,B,21.234,21.234,16.733
10903ab7,201552,Stores,A,24.61,24.61,18.759
10903ab7,201552,Stores,B,21.234,21.234,16.733
10903ab7,201609,Online,B,21.234,16.733,13.583
10903ab7,201609,Stores,A,24.61,18.759,14.663
10903ab7,201609,Stores,B,21.234,16.733,13.583
10934bae,201552,Online,B,27.986,27.986,18.984
10934bae,201552,Stores,B,27.986,27.986,18.984
10934bae,201603,Online,B,27.986,18.984,15.383
10934bae,201603,Stores,B,27.986,18.984,15.383
10a1d221,201525,Online,B,12.232,12.232,11.107
10a1d221,201525,Stores,B,12.232,12.232,11.107
10bb51b,201606,Online,B,18.984,18.984,14.483
10bb51b,201606,Stores,A,21.684,21.684,15.833
10bb51b,201606,Stores,B,18.984,18.984,14.483
10c1cbb1,201552,Stores,A,14.483,14.483,12.232
10c1cbb1,201552,Stores,B,13.583,13.583,11.782
10c8fa7c,201519,Stores,A,16.283,16.283,11.737
10c8fa7c,201519,Stores,B,14.933,14.933,11.332
10c8fa7c,201521,Online,B,14.483,14.483,12.683
10c8fa7c,201523,Stores,A,16.283,11.737,13.493
10c8fa7c,201523,Stores,B,14.933,11.332,12.683
10c8fa7c,201524,Stores,A,16.283,13.493,11.737
10c8fa7c,201524,Stores,B,14.933,12.683,11.332
10c8fa7c,201526,Online,B,14.933,12.683,11.332
10c8fa7c,201530,Online,B,14.483,11.332,12.683
10c8fa7c,201532,Online,B,14.933,12.683,11.332
10cd9ba9,201517,Online,B,12.683,12.683,11.332
10cd9ba9,201517,Stores,A,13.358,13.358,11.67
10cd9ba9,201517,Stores,B,12.683,12.683,11.332
10dffc14,201521,Stores,B,18.984,18.984,12.683
10dffc14,201522,Stores,A,21.684,21.684,13.493
10dffc14,201523,Stores,A,21.684,13.493,15.833
10dffc14,201523,Stores,B,18.984,12.683,14.483
10dffc14,201524,Stores,A,21.684,15.833,13.493
10dffc14,201524,Stores,B,18.984,14.483,12.683
10dffc14,201527,Online,B,18.984,18.984,16.733
10dffc14,201534,Online,B,18.984,16.733,12.683
10ea4ac6,201519,Stores,A,14.033,14.033,11.134
10ea4ac6,201519,Stores,B,13.133,13.133,10.882
10ea4ac6,201521,Online,B,12.683,12.683,11.332
10ea4ac6,201523,Stores,A,14.033,11.134,11.715
10ea4ac6,201523,Stores,B,13.133,10.882,11.332
10ea4ac6,201524,Online,B,13.133,11.332,10.882
10ea4ac6,201524,Stores,A,14.033,11.715,11.134
10ea4ac6,201524,Stores,B,13.133,11.332,10.882
10ea4ac6,201527,Online,B,12.683,10.882,11.332
10ea4ac6,201528,Online,B,13.133,11.332,10.882
10ed8818,201518,Online,B,17.183,17.183,13.583
10f9c784,201519,Stores,A,12.908,12.908,11.152
10f9c784,201519,Stores,B,12.232,12.232,10.882
10f9c784,201521,Online,B,12.232,12.232,10.882
10f9c784,201546,Stores,A,12.908,11.152,10.275
10f9c784,201546,Stores,B,12.232,10.882,10.207
10fcd49c,201607,Stores,B,54.541,54.541,36.987
1104b2fc,201519,Stores,A,13.358,13.358,11.67
1104b2fc,201519,Stores,B,12.683,12.683,11.332
1104b2fc,201523,Stores,A,13.358,11.67,13.358
1104b2fc,201523,Stores,B,12.683,11.332,12.683
